experiment,family,language,fold,source,train_file,dev_file,test_file,model_file,prediction_file,tokens,upos,uas,las
joint,Mongolic,Daur,2,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold2/train.conllu,experiments_0616/splits/joint/Mongolic/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold2/test.conllu,experiments_0616/models/joint/Mongolic/fold2/parser.pt,experiments_0616/predictions/joint/Mongolic/Daur/fold2/test_pred.conllu,118,100.00,61.02,54.24
joint,Mongolic,Kalmyk,2,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold2/train.conllu,experiments_0616/splits/joint/Mongolic/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold2/test.conllu,experiments_0616/models/joint/Mongolic/fold2/parser.pt,experiments_0616/predictions/joint/Mongolic/Kalmyk/fold2/test_pred.conllu,92,100.00,72.83,63.04
joint,Mongolic,Khalkha,2,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold2/train.conllu,experiments_0616/splits/joint/Mongolic/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold2/test.conllu,experiments_0616/models/joint/Mongolic/fold2/parser.pt,experiments_0616/predictions/joint/Mongolic/Khalkha/fold2/test_pred.conllu,97,100.00,79.38,67.01
joint,Mongolic,Ordos,2,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold2/train.conllu,experiments_0616/splits/joint/Mongolic/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold2/test.conllu,experiments_0616/models/joint/Mongolic/fold2/parser.pt,experiments_0616/predictions/joint/Mongolic/Ordos/fold2/test_pred.conllu,64,100.00,79.69,62.50
joint,Mongolic,Tu,2,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold2/train.conllu,experiments_0616/splits/joint/Mongolic/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold2/test.conllu,experiments_0616/models/joint/Mongolic/fold2/parser.pt,experiments_0616/predictions/joint/Mongolic/Tu/fold2/test_pred.conllu,136,100.00,74.26,65.44
joint,Mongolic,Daur,3,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold3/train.conllu,experiments_0616/splits/joint/Mongolic/fold3/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold3/test.conllu,experiments_0616/models/joint/Mongolic/fold3/parser.pt,experiments_0616/predictions/joint/Mongolic/Daur/fold3/test_pred.conllu,136,100.00,69.12,56.62
joint,Mongolic,Kalmyk,3,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold3/train.conllu,experiments_0616/splits/joint/Mongolic/fold3/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold3/test.conllu,experiments_0616/models/joint/Mongolic/fold3/parser.pt,experiments_0616/predictions/joint/Mongolic/Kalmyk/fold3/test_pred.conllu,88,100.00,77.27,67.05
joint,Mongolic,Khalkha,3,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold3/train.conllu,experiments_0616/splits/joint/Mongolic/fold3/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold3/test.conllu,experiments_0616/models/joint/Mongolic/fold3/parser.pt,experiments_0616/predictions/joint/Mongolic/Khalkha/fold3/test_pred.conllu,81,100.00,87.65,75.31
joint,Mongolic,Ordos,3,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold3/train.conllu,experiments_0616/splits/joint/Mongolic/fold3/dev.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold3/test.conllu,experiments_0616/models/joint/Mongolic/fold3/parser.pt,experiments_0616/predictions/joint/Mongolic/Ordos/fold3/test_pred.conllu,65,100.00,80.00,58.46
joint,Mongolic,Tu,3,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold3/train.conllu,experiments_0616/splits/joint/Mongolic/fold3/dev.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold3/test.conllu,experiments_0616/models/joint/Mongolic/fold3/parser.pt,experiments_0616/predictions/joint/Mongolic/Tu/fold3/test_pred.conllu,131,100.00,65.65,55.73
joint,Mongolic,Daur,4,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold4/train.conllu,experiments_0616/splits/joint/Mongolic/fold4/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold4/test.conllu,experiments_0616/models/joint/Mongolic/fold4/parser.pt,experiments_0616/predictions/joint/Mongolic/Daur/fold4/test_pred.conllu,133,100.00,73.68,60.90
joint,Mongolic,Kalmyk,4,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold4/train.conllu,experiments_0616/splits/joint/Mongolic/fold4/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold4/test.conllu,experiments_0616/models/joint/Mongolic/fold4/parser.pt,experiments_0616/predictions/joint/Mongolic/Kalmyk/fold4/test_pred.conllu,103,100.00,60.19,46.60
joint,Mongolic,Khalkha,4,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold4/train.conllu,experiments_0616/splits/joint/Mongolic/fold4/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold4/test.conllu,experiments_0616/models/joint/Mongolic/fold4/parser.pt,experiments_0616/predictions/joint/Mongolic/Khalkha/fold4/test_pred.conllu,94,100.00,80.85,67.02
joint,Mongolic,Ordos,4,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold4/train.conllu,experiments_0616/splits/joint/Mongolic/fold4/dev.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold4/test.conllu,experiments_0616/models/joint/Mongolic/fold4/parser.pt,experiments_0616/predictions/joint/Mongolic/Ordos/fold4/test_pred.conllu,54,100.00,87.04,70.37
joint,Mongolic,Tu,4,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold4/train.conllu,experiments_0616/splits/joint/Mongolic/fold4/dev.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold4/test.conllu,experiments_0616/models/joint/Mongolic/fold4/parser.pt,experiments_0616/predictions/joint/Mongolic/Tu/fold4/test_pred.conllu,111,100.00,77.48,61.26
joint,Tungusic,Even,0,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold0/train.conllu,experiments_0616/splits/joint/Tungusic/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Even/fold0/test.conllu,experiments_0616/models/joint/Tungusic/fold0/parser.pt,experiments_0616/predictions/joint/Tungusic/Even/fold0/test_pred.conllu,44,100.00,61.36,47.73
joint,Tungusic,Evenki,0,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold0/train.conllu,experiments_0616/splits/joint/Tungusic/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold0/test.conllu,experiments_0616/models/joint/Tungusic/fold0/parser.pt,experiments_0616/predictions/joint/Tungusic/Evenki/fold0/test_pred.conllu,50,100.00,76.00,66.00
joint,Tungusic,Manchu,0,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold0/train.conllu,experiments_0616/splits/joint/Tungusic/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold0/test.conllu,experiments_0616/models/joint/Tungusic/fold0/parser.pt,experiments_0616/predictions/joint/Tungusic/Manchu/fold0/test_pred.conllu,100,100.00,69.00,60.00
joint,Tungusic,Nanai,0,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold0/train.conllu,experiments_0616/splits/joint/Tungusic/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold0/test.conllu,experiments_0616/models/joint/Tungusic/fold0/parser.pt,experiments_0616/predictions/joint/Tungusic/Nanai/fold0/test_pred.conllu,174,100.00,51.15,37.36
joint,Tungusic,Negidal,0,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold0/train.conllu,experiments_0616/splits/joint/Tungusic/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold0/test.conllu,experiments_0616/models/joint/Tungusic/fold0/parser.pt,experiments_0616/predictions/joint/Tungusic/Negidal/fold0/test_pred.conllu,68,100.00,54.41,42.65
joint,Tungusic,Oroch,0,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold0/train.conllu,experiments_0616/splits/joint/Tungusic/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold0/test.conllu,experiments_0616/models/joint/Tungusic/fold0/parser.pt,experiments_0616/predictions/joint/Tungusic/Oroch/fold0/test_pred.conllu,71,100.00,83.10,77.46
joint,Tungusic,Udihe,0,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold0/train.conllu,experiments_0616/splits/joint/Tungusic/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold0/test.conllu,experiments_0616/models/joint/Tungusic/fold0/parser.pt,experiments_0616/predictions/joint/Tungusic/Udihe/fold0/test_pred.conllu,100,100.00,57.00,46.00
joint,Tungusic,Ulch,0,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold0/train.conllu,experiments_0616/splits/joint/Tungusic/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold0/test.conllu,experiments_0616/models/joint/Tungusic/fold0/parser.pt,experiments_0616/predictions/joint/Tungusic/Ulch/fold0/test_pred.conllu,46,100.00,86.96,78.26
joint,Tungusic,Even,1,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold1/train.conllu,experiments_0616/splits/joint/Tungusic/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Even/fold1/test.conllu,experiments_0616/models/joint/Tungusic/fold1/parser.pt,experiments_0616/predictions/joint/Tungusic/Even/fold1/test_pred.conllu,77,100.00,48.05,37.66
joint,Tungusic,Evenki,1,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold1/train.conllu,experiments_0616/splits/joint/Tungusic/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold1/test.conllu,experiments_0616/models/joint/Tungusic/fold1/parser.pt,experiments_0616/predictions/joint/Tungusic/Evenki/fold1/test_pred.conllu,54,100.00,62.96,51.85
joint,Tungusic,Manchu,1,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold1/train.conllu,experiments_0616/splits/joint/Tungusic/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold1/test.conllu,experiments_0616/models/joint/Tungusic/fold1/parser.pt,experiments_0616/predictions/joint/Tungusic/Manchu/fold1/test_pred.conllu,96,100.00,70.83,55.21
joint,Tungusic,Nanai,1,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold1/train.conllu,experiments_0616/splits/joint/Tungusic/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold1/test.conllu,experiments_0616/models/joint/Tungusic/fold1/parser.pt,experiments_0616/predictions/joint/Tungusic/Nanai/fold1/test_pred.conllu,168,100.00,60.12,47.62
joint,Tungusic,Negidal,1,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold1/train.conllu,experiments_0616/splits/joint/Tungusic/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold1/test.conllu,experiments_0616/models/joint/Tungusic/fold1/parser.pt,experiments_0616/predictions/joint/Tungusic/Negidal/fold1/test_pred.conllu,59,100.00,71.19,55.93
joint,Tungusic,Oroch,1,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold1/train.conllu,experiments_0616/splits/joint/Tungusic/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold1/test.conllu,experiments_0616/models/joint/Tungusic/fold1/parser.pt,experiments_0616/predictions/joint/Tungusic/Oroch/fold1/test_pred.conllu,76,100.00,97.37,92.11
joint,Tungusic,Udihe,1,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold1/train.conllu,experiments_0616/splits/joint/Tungusic/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold1/test.conllu,experiments_0616/models/joint/Tungusic/fold1/parser.pt,experiments_0616/predictions/joint/Tungusic/Udihe/fold1/test_pred.conllu,104,100.00,64.42,51.92
joint,Tungusic,Ulch,1,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold1/train.conllu,experiments_0616/splits/joint/Tungusic/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold1/test.conllu,experiments_0616/models/joint/Tungusic/fold1/parser.pt,experiments_0616/predictions/joint/Tungusic/Ulch/fold1/test_pred.conllu,33,100.00,96.97,81.82
joint,Tungusic,Even,2,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold2/train.conllu,experiments_0616/splits/joint/Tungusic/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Even/fold2/test.conllu,experiments_0616/models/joint/Tungusic/fold2/parser.pt,experiments_0616/predictions/joint/Tungusic/Even/fold2/test_pred.conllu,68,100.00,45.59,39.71
joint,Tungusic,Evenki,2,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold2/train.conllu,experiments_0616/splits/joint/Tungusic/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold2/test.conllu,experiments_0616/models/joint/Tungusic/fold2/parser.pt,experiments_0616/predictions/joint/Tungusic/Evenki/fold2/test_pred.conllu,47,100.00,82.98,72.34
joint,Tungusic,Manchu,2,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold2/train.conllu,experiments_0616/splits/joint/Tungusic/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold2/test.conllu,experiments_0616/models/joint/Tungusic/fold2/parser.pt,experiments_0616/predictions/joint/Tungusic/Manchu/fold2/test_pred.conllu,82,100.00,68.29,53.66
joint,Tungusic,Nanai,2,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold2/train.conllu,experiments_0616/splits/joint/Tungusic/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold2/test.conllu,experiments_0616/models/joint/Tungusic/fold2/parser.pt,experiments_0616/predictions/joint/Tungusic/Nanai/fold2/test_pred.conllu,165,100.00,57.58,42.42
joint,Tungusic,Negidal,2,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold2/train.conllu,experiments_0616/splits/joint/Tungusic/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold2/test.conllu,experiments_0616/models/joint/Tungusic/fold2/parser.pt,experiments_0616/predictions/joint/Tungusic/Negidal/fold2/test_pred.conllu,60,100.00,55.00,41.67
joint,Tungusic,Oroch,2,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold2/train.conllu,experiments_0616/splits/joint/Tungusic/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold2/test.conllu,experiments_0616/models/joint/Tungusic/fold2/parser.pt,experiments_0616/predictions/joint/Tungusic/Oroch/fold2/test_pred.conllu,65,100.00,98.46,96.92
joint,Tungusic,Udihe,2,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold2/train.conllu,experiments_0616/splits/joint/Tungusic/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold2/test.conllu,experiments_0616/models/joint/Tungusic/fold2/parser.pt,experiments_0616/predictions/joint/Tungusic/Udihe/fold2/test_pred.conllu,90,100.00,70.00,64.44
joint,Tungusic,Ulch,2,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold2/train.conllu,experiments_0616/splits/joint/Tungusic/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold2/test.conllu,experiments_0616/models/joint/Tungusic/fold2/parser.pt,experiments_0616/predictions/joint/Tungusic/Ulch/fold2/test_pred.conllu,62,100.00,83.87,72.58
joint,Tungusic,Even,3,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold3/train.conllu,experiments_0616/splits/joint/Tungusic/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Even/fold3/test.conllu,experiments_0616/models/joint/Tungusic/fold3/parser.pt,experiments_0616/predictions/joint/Tungusic/Even/fold3/test_pred.conllu,62,100.00,41.94,32.26
joint,Tungusic,Evenki,3,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold3/train.conllu,experiments_0616/splits/joint/Tungusic/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold3/test.conllu,experiments_0616/models/joint/Tungusic/fold3/parser.pt,experiments_0616/predictions/joint/Tungusic/Evenki/fold3/test_pred.conllu,67,100.00,49.25,46.27
joint,Tungusic,Manchu,3,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold3/train.conllu,experiments_0616/splits/joint/Tungusic/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold3/test.conllu,experiments_0616/models/joint/Tungusic/fold3/parser.pt,experiments_0616/predictions/joint/Tungusic/Manchu/fold3/test_pred.conllu,86,100.00,70.93,62.79
joint,Tungusic,Nanai,3,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold3/train.conllu,experiments_0616/splits/joint/Tungusic/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold3/test.conllu,experiments_0616/models/joint/Tungusic/fold3/parser.pt,experiments_0616/predictions/joint/Tungusic/Nanai/fold3/test_pred.conllu,158,100.00,56.96,48.10
joint,Tungusic,Negidal,3,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold3/train.conllu,experiments_0616/splits/joint/Tungusic/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold3/test.conllu,experiments_0616/models/joint/Tungusic/fold3/parser.pt,experiments_0616/predictions/joint/Tungusic/Negidal/fold3/test_pred.conllu,46,100.00,69.57,54.35
joint,Tungusic,Oroch,3,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold3/train.conllu,experiments_0616/splits/joint/Tungusic/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold3/test.conllu,experiments_0616/models/joint/Tungusic/fold3/parser.pt,experiments_0616/predictions/joint/Tungusic/Oroch/fold3/test_pred.conllu,72,100.00,98.61,91.67
joint,Tungusic,Udihe,3,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold3/train.conllu,experiments_0616/splits/joint/Tungusic/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold3/test.conllu,experiments_0616/models/joint/Tungusic/fold3/parser.pt,experiments_0616/predictions/joint/Tungusic/Udihe/fold3/test_pred.conllu,105,100.00,62.86,41.90
joint,Tungusic,Ulch,3,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold3/train.conllu,experiments_0616/splits/joint/Tungusic/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold3/test.conllu,experiments_0616/models/joint/Tungusic/fold3/parser.pt,experiments_0616/predictions/joint/Tungusic/Ulch/fold3/test_pred.conllu,42,100.00,90.48,85.71
joint,Tungusic,Even,4,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold4/train.conllu,experiments_0616/splits/joint/Tungusic/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Even/fold4/test.conllu,experiments_0616/models/joint/Tungusic/fold4/parser.pt,experiments_0616/predictions/joint/Tungusic/Even/fold4/test_pred.conllu,51,100.00,50.98,37.25
joint,Tungusic,Evenki,4,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold4/train.conllu,experiments_0616/splits/joint/Tungusic/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold4/test.conllu,experiments_0616/models/joint/Tungusic/fold4/parser.pt,experiments_0616/predictions/joint/Tungusic/Evenki/fold4/test_pred.conllu,43,100.00,79.07,67.44
joint,Tungusic,Manchu,4,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold4/train.conllu,experiments_0616/splits/joint/Tungusic/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold4/test.conllu,experiments_0616/models/joint/Tungusic/fold4/parser.pt,experiments_0616/predictions/joint/Tungusic/Manchu/fold4/test_pred.conllu,87,100.00,71.26,56.32
joint,Tungusic,Nanai,4,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold4/train.conllu,experiments_0616/splits/joint/Tungusic/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold4/test.conllu,experiments_0616/models/joint/Tungusic/fold4/parser.pt,experiments_0616/predictions/joint/Tungusic/Nanai/fold4/test_pred.conllu,157,100.00,52.23,42.68
joint,Tungusic,Negidal,4,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold4/train.conllu,experiments_0616/splits/joint/Tungusic/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold4/test.conllu,experiments_0616/models/joint/Tungusic/fold4/parser.pt,experiments_0616/predictions/joint/Tungusic/Negidal/fold4/test_pred.conllu,48,100.00,60.42,43.75
joint,Tungusic,Oroch,4,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold4/train.conllu,experiments_0616/splits/joint/Tungusic/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold4/test.conllu,experiments_0616/models/joint/Tungusic/fold4/parser.pt,experiments_0616/predictions/joint/Tungusic/Oroch/fold4/test_pred.conllu,61,100.00,85.25,83.61
joint,Tungusic,Udihe,4,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold4/train.conllu,experiments_0616/splits/joint/Tungusic/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold4/test.conllu,experiments_0616/models/joint/Tungusic/fold4/parser.pt,experiments_0616/predictions/joint/Tungusic/Udihe/fold4/test_pred.conllu,105,100.00,71.43,51.43
joint,Tungusic,Ulch,4,Tungusic_joint,experiments_0616/splits/joint/Tungusic/fold4/train.conllu,experiments_0616/splits/joint/Tungusic/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold4/test.conllu,experiments_0616/models/joint/Tungusic/fold4/parser.pt,experiments_0616/predictions/joint/Tungusic/Ulch/fold4/test_pred.conllu,48,100.00,83.33,77.08
