experiment,family,language,fold,source,train_file,dev_file,test_file,model_file,prediction_file,tokens,upos
mono,Mongolic,Khalkha,0,Khalkha,experiments_0616/splits/mono/Mongolic/Khalkha/fold0/train.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold0/test.conllu,experiments_0616/models_upos/mono/Mongolic/Khalkha/fold0/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Khalkha/fold0/test_pred.conllu,94,81.91
mono,Mongolic,Khalkha,1,Khalkha,experiments_0616/splits/mono/Mongolic/Khalkha/fold1/train.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold1/test.conllu,experiments_0616/models_upos/mono/Mongolic/Khalkha/fold1/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Khalkha/fold1/test_pred.conllu,106,71.70
mono,Mongolic,Khalkha,2,Khalkha,experiments_0616/splits/mono/Mongolic/Khalkha/fold2/train.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold2/test.conllu,experiments_0616/models_upos/mono/Mongolic/Khalkha/fold2/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Khalkha/fold2/test_pred.conllu,97,75.26
mono,Mongolic,Khalkha,3,Khalkha,experiments_0616/splits/mono/Mongolic/Khalkha/fold3/train.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold3/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold3/test.conllu,experiments_0616/models_upos/mono/Mongolic/Khalkha/fold3/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Khalkha/fold3/test_pred.conllu,81,74.07
mono,Mongolic,Khalkha,4,Khalkha,experiments_0616/splits/mono/Mongolic/Khalkha/fold4/train.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold4/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold4/test.conllu,experiments_0616/models_upos/mono/Mongolic/Khalkha/fold4/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Khalkha/fold4/test_pred.conllu,94,82.98
mono,Mongolic,Ordos,0,Ordos,experiments_0616/splits/mono/Mongolic/Ordos/fold0/train.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold0/test.conllu,experiments_0616/models_upos/mono/Mongolic/Ordos/fold0/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Ordos/fold0/test_pred.conllu,59,49.15
mono,Mongolic,Ordos,1,Ordos,experiments_0616/splits/mono/Mongolic/Ordos/fold1/train.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold1/test.conllu,experiments_0616/models_upos/mono/Mongolic/Ordos/fold1/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Ordos/fold1/test_pred.conllu,55,65.45
mono,Mongolic,Ordos,2,Ordos,experiments_0616/splits/mono/Mongolic/Ordos/fold2/train.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold2/test.conllu,experiments_0616/models_upos/mono/Mongolic/Ordos/fold2/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Ordos/fold2/test_pred.conllu,64,64.06
mono,Mongolic,Ordos,3,Ordos,experiments_0616/splits/mono/Mongolic/Ordos/fold3/train.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold3/dev.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold3/test.conllu,experiments_0616/models_upos/mono/Mongolic/Ordos/fold3/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Ordos/fold3/test_pred.conllu,65,69.23
mono,Mongolic,Ordos,4,Ordos,experiments_0616/splits/mono/Mongolic/Ordos/fold4/train.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold4/dev.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold4/test.conllu,experiments_0616/models_upos/mono/Mongolic/Ordos/fold4/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Ordos/fold4/test_pred.conllu,54,70.37
mono,Mongolic,Tu,0,Tu,experiments_0616/splits/mono/Mongolic/Tu/fold0/train.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold0/test.conllu,experiments_0616/models_upos/mono/Mongolic/Tu/fold0/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Tu/fold0/test_pred.conllu,117,78.63
mono,Mongolic,Tu,1,Tu,experiments_0616/splits/mono/Mongolic/Tu/fold1/train.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold1/test.conllu,experiments_0616/models_upos/mono/Mongolic/Tu/fold1/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Tu/fold1/test_pred.conllu,108,70.37
mono,Mongolic,Tu,2,Tu,experiments_0616/splits/mono/Mongolic/Tu/fold2/train.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold2/test.conllu,experiments_0616/models_upos/mono/Mongolic/Tu/fold2/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Tu/fold2/test_pred.conllu,136,71.32
mono,Mongolic,Tu,3,Tu,experiments_0616/splits/mono/Mongolic/Tu/fold3/train.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold3/dev.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold3/test.conllu,experiments_0616/models_upos/mono/Mongolic/Tu/fold3/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Tu/fold3/test_pred.conllu,131,75.57
mono,Mongolic,Tu,4,Tu,experiments_0616/splits/mono/Mongolic/Tu/fold4/train.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold4/dev.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold4/test.conllu,experiments_0616/models_upos/mono/Mongolic/Tu/fold4/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Tu/fold4/test_pred.conllu,111,65.77
mono,Tungusic,Even,0,Even,experiments_0616/splits/mono/Tungusic/Even/fold0/train.conllu,experiments_0616/splits/mono/Tungusic/Even/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Even/fold0/test.conllu,experiments_0616/models_upos/mono/Tungusic/Even/fold0/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Even/fold0/test_pred.conllu,44,65.91
mono,Tungusic,Even,1,Even,experiments_0616/splits/mono/Tungusic/Even/fold1/train.conllu,experiments_0616/splits/mono/Tungusic/Even/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Even/fold1/test.conllu,experiments_0616/models_upos/mono/Tungusic/Even/fold1/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Even/fold1/test_pred.conllu,77,49.35
mono,Tungusic,Even,2,Even,experiments_0616/splits/mono/Tungusic/Even/fold2/train.conllu,experiments_0616/splits/mono/Tungusic/Even/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Even/fold2/test.conllu,experiments_0616/models_upos/mono/Tungusic/Even/fold2/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Even/fold2/test_pred.conllu,68,44.12
mono,Tungusic,Even,3,Even,experiments_0616/splits/mono/Tungusic/Even/fold3/train.conllu,experiments_0616/splits/mono/Tungusic/Even/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Even/fold3/test.conllu,experiments_0616/models_upos/mono/Tungusic/Even/fold3/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Even/fold3/test_pred.conllu,62,48.39
mono,Tungusic,Even,4,Even,experiments_0616/splits/mono/Tungusic/Even/fold4/train.conllu,experiments_0616/splits/mono/Tungusic/Even/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Even/fold4/test.conllu,experiments_0616/models_upos/mono/Tungusic/Even/fold4/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Even/fold4/test_pred.conllu,51,43.14
mono,Tungusic,Evenki,0,Evenki,experiments_0616/splits/mono/Tungusic/Evenki/fold0/train.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold0/test.conllu,experiments_0616/models_upos/mono/Tungusic/Evenki/fold0/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Evenki/fold0/test_pred.conllu,50,64.00
mono,Tungusic,Evenki,1,Evenki,experiments_0616/splits/mono/Tungusic/Evenki/fold1/train.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold1/test.conllu,experiments_0616/models_upos/mono/Tungusic/Evenki/fold1/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Evenki/fold1/test_pred.conllu,54,62.96
mono,Tungusic,Evenki,2,Evenki,experiments_0616/splits/mono/Tungusic/Evenki/fold2/train.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold2/test.conllu,experiments_0616/models_upos/mono/Tungusic/Evenki/fold2/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Evenki/fold2/test_pred.conllu,47,51.06
mono,Tungusic,Evenki,3,Evenki,experiments_0616/splits/mono/Tungusic/Evenki/fold3/train.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold3/test.conllu,experiments_0616/models_upos/mono/Tungusic/Evenki/fold3/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Evenki/fold3/test_pred.conllu,67,70.15
mono,Tungusic,Evenki,4,Evenki,experiments_0616/splits/mono/Tungusic/Evenki/fold4/train.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Evenki/fold4/test.conllu,experiments_0616/models_upos/mono/Tungusic/Evenki/fold4/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Evenki/fold4/test_pred.conllu,43,67.44
mono,Tungusic,Manchu,0,Manchu,experiments_0616/splits/mono/Tungusic/Manchu/fold0/train.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold0/test.conllu,experiments_0616/models_upos/mono/Tungusic/Manchu/fold0/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Manchu/fold0/test_pred.conllu,100,77.00
mono,Tungusic,Manchu,1,Manchu,experiments_0616/splits/mono/Tungusic/Manchu/fold1/train.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold1/test.conllu,experiments_0616/models_upos/mono/Tungusic/Manchu/fold1/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Manchu/fold1/test_pred.conllu,96,69.79
mono,Tungusic,Manchu,2,Manchu,experiments_0616/splits/mono/Tungusic/Manchu/fold2/train.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold2/test.conllu,experiments_0616/models_upos/mono/Tungusic/Manchu/fold2/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Manchu/fold2/test_pred.conllu,82,73.17
mono,Tungusic,Manchu,3,Manchu,experiments_0616/splits/mono/Tungusic/Manchu/fold3/train.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold3/test.conllu,experiments_0616/models_upos/mono/Tungusic/Manchu/fold3/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Manchu/fold3/test_pred.conllu,86,70.93
mono,Tungusic,Manchu,4,Manchu,experiments_0616/splits/mono/Tungusic/Manchu/fold4/train.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Manchu/fold4/test.conllu,experiments_0616/models_upos/mono/Tungusic/Manchu/fold4/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Manchu/fold4/test_pred.conllu,87,70.11
mono,Tungusic,Nanai,0,Nanai,experiments_0616/splits/mono/Tungusic/Nanai/fold0/train.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold0/test.conllu,experiments_0616/models_upos/mono/Tungusic/Nanai/fold0/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Nanai/fold0/test_pred.conllu,174,73.56
mono,Tungusic,Nanai,1,Nanai,experiments_0616/splits/mono/Tungusic/Nanai/fold1/train.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold1/test.conllu,experiments_0616/models_upos/mono/Tungusic/Nanai/fold1/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Nanai/fold1/test_pred.conllu,168,66.07
mono,Tungusic,Nanai,2,Nanai,experiments_0616/splits/mono/Tungusic/Nanai/fold2/train.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold2/test.conllu,experiments_0616/models_upos/mono/Tungusic/Nanai/fold2/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Nanai/fold2/test_pred.conllu,165,68.48
mono,Tungusic,Nanai,3,Nanai,experiments_0616/splits/mono/Tungusic/Nanai/fold3/train.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold3/test.conllu,experiments_0616/models_upos/mono/Tungusic/Nanai/fold3/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Nanai/fold3/test_pred.conllu,158,71.52
mono,Tungusic,Nanai,4,Nanai,experiments_0616/splits/mono/Tungusic/Nanai/fold4/train.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Nanai/fold4/test.conllu,experiments_0616/models_upos/mono/Tungusic/Nanai/fold4/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Nanai/fold4/test_pred.conllu,157,71.97
mono,Tungusic,Negidal,0,Negidal,experiments_0616/splits/mono/Tungusic/Negidal/fold0/train.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold0/test.conllu,experiments_0616/models_upos/mono/Tungusic/Negidal/fold0/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Negidal/fold0/test_pred.conllu,68,52.94
mono,Tungusic,Negidal,1,Negidal,experiments_0616/splits/mono/Tungusic/Negidal/fold1/train.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold1/test.conllu,experiments_0616/models_upos/mono/Tungusic/Negidal/fold1/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Negidal/fold1/test_pred.conllu,59,59.32
mono,Tungusic,Negidal,2,Negidal,experiments_0616/splits/mono/Tungusic/Negidal/fold2/train.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold2/test.conllu,experiments_0616/models_upos/mono/Tungusic/Negidal/fold2/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Negidal/fold2/test_pred.conllu,60,46.67
mono,Tungusic,Negidal,3,Negidal,experiments_0616/splits/mono/Tungusic/Negidal/fold3/train.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold3/test.conllu,experiments_0616/models_upos/mono/Tungusic/Negidal/fold3/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Negidal/fold3/test_pred.conllu,46,47.83
mono,Tungusic,Negidal,4,Negidal,experiments_0616/splits/mono/Tungusic/Negidal/fold4/train.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Negidal/fold4/test.conllu,experiments_0616/models_upos/mono/Tungusic/Negidal/fold4/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Negidal/fold4/test_pred.conllu,48,58.33
mono,Tungusic,Oroch,0,Oroch,experiments_0616/splits/mono/Tungusic/Oroch/fold0/train.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold0/test.conllu,experiments_0616/models_upos/mono/Tungusic/Oroch/fold0/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Oroch/fold0/test_pred.conllu,71,85.92
mono,Tungusic,Oroch,1,Oroch,experiments_0616/splits/mono/Tungusic/Oroch/fold1/train.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold1/test.conllu,experiments_0616/models_upos/mono/Tungusic/Oroch/fold1/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Oroch/fold1/test_pred.conllu,76,90.79
mono,Tungusic,Oroch,2,Oroch,experiments_0616/splits/mono/Tungusic/Oroch/fold2/train.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold2/test.conllu,experiments_0616/models_upos/mono/Tungusic/Oroch/fold2/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Oroch/fold2/test_pred.conllu,65,83.08
mono,Tungusic,Oroch,3,Oroch,experiments_0616/splits/mono/Tungusic/Oroch/fold3/train.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold3/test.conllu,experiments_0616/models_upos/mono/Tungusic/Oroch/fold3/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Oroch/fold3/test_pred.conllu,72,79.17
mono,Tungusic,Oroch,4,Oroch,experiments_0616/splits/mono/Tungusic/Oroch/fold4/train.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Oroch/fold4/test.conllu,experiments_0616/models_upos/mono/Tungusic/Oroch/fold4/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Oroch/fold4/test_pred.conllu,61,86.89
mono,Tungusic,Udihe,0,Udihe,experiments_0616/splits/mono/Tungusic/Udihe/fold0/train.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold0/test.conllu,experiments_0616/models_upos/mono/Tungusic/Udihe/fold0/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Udihe/fold0/test_pred.conllu,100,63.00
mono,Tungusic,Udihe,1,Udihe,experiments_0616/splits/mono/Tungusic/Udihe/fold1/train.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold1/test.conllu,experiments_0616/models_upos/mono/Tungusic/Udihe/fold1/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Udihe/fold1/test_pred.conllu,104,66.35
mono,Tungusic,Udihe,2,Udihe,experiments_0616/splits/mono/Tungusic/Udihe/fold2/train.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold2/test.conllu,experiments_0616/models_upos/mono/Tungusic/Udihe/fold2/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Udihe/fold2/test_pred.conllu,90,66.67
mono,Tungusic,Udihe,3,Udihe,experiments_0616/splits/mono/Tungusic/Udihe/fold3/train.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold3/test.conllu,experiments_0616/models_upos/mono/Tungusic/Udihe/fold3/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Udihe/fold3/test_pred.conllu,105,58.10
mono,Tungusic,Udihe,4,Udihe,experiments_0616/splits/mono/Tungusic/Udihe/fold4/train.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Udihe/fold4/test.conllu,experiments_0616/models_upos/mono/Tungusic/Udihe/fold4/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Udihe/fold4/test_pred.conllu,105,62.86
mono,Tungusic,Ulch,0,Ulch,experiments_0616/splits/mono/Tungusic/Ulch/fold0/train.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold0/dev.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold0/test.conllu,experiments_0616/models_upos/mono/Tungusic/Ulch/fold0/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Ulch/fold0/test_pred.conllu,46,76.09
mono,Tungusic,Ulch,1,Ulch,experiments_0616/splits/mono/Tungusic/Ulch/fold1/train.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold1/dev.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold1/test.conllu,experiments_0616/models_upos/mono/Tungusic/Ulch/fold1/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Ulch/fold1/test_pred.conllu,33,72.73
mono,Tungusic,Ulch,2,Ulch,experiments_0616/splits/mono/Tungusic/Ulch/fold2/train.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold2/dev.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold2/test.conllu,experiments_0616/models_upos/mono/Tungusic/Ulch/fold2/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Ulch/fold2/test_pred.conllu,62,72.58
mono,Tungusic,Ulch,3,Ulch,experiments_0616/splits/mono/Tungusic/Ulch/fold3/train.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold3/dev.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold3/test.conllu,experiments_0616/models_upos/mono/Tungusic/Ulch/fold3/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Ulch/fold3/test_pred.conllu,42,88.10
mono,Tungusic,Ulch,4,Ulch,experiments_0616/splits/mono/Tungusic/Ulch/fold4/train.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold4/dev.conllu,experiments_0616/splits/mono/Tungusic/Ulch/fold4/test.conllu,experiments_0616/models_upos/mono/Tungusic/Ulch/fold4/tagger.pt,experiments_0616/predictions_upos/mono/Tungusic/Ulch/fold4/test_pred.conllu,48,68.75
